"species" "no_complete" "no_incomplete" "prop_complete" "prop_incomplete"
"Setophaga_pensylvanica" 59734 3026 0.03440650874793 0.00174296205630355
"Setophaga_petechia" 185409 9581 0.106794729642163 0.00551861185110519
"Setophaga_pinus" 43069 2778 0.0248075455396357 0.00160011519907841
"Setophaga_ruticilla" 119102 6676 0.0686022031823745 0.0038453452372381
"Setophaga_striata" 36556 4499 0.0210560875512996 0.00259140326877385
"Setophaga_tigrina" 15319 1220 0.00882367341061271 0.000702714378284974
"Setophaga_townsendi" 60 10 3.45597235222118e-05 5.75995392036864e-06
"Setophaga_virens" 59341 3553 0.0341801425588595 0.00204651162790698
"Sialia_currucoides" 104 23 5.99035207718338e-05 1.32478940168479e-05
"Sialia_sialis" 123768 10550 0.0712897976816185 0.00607675138598891
"Sitta_canadensis" 102931 6802 0.0592877816977464 0.00391792065663475
"Sitta_carolinensis" 408548 19185 0.235321765425877 0.0110504715962272
"Somateria_mollissima" 10692 745 0.00615854273165815 0.000429116567067463
"Somateria_spectabilis" 1642 202 0.00094578443372453 0.000116351069191446
"Spatula_clypeata" 48416 3109 0.0278873929008568 0.00179076967384261
"Spatula_cyanoptera" 0 0 0 0
"Spatula_discors" 18205 1465 0.0104859961120311 0.000843833249334005
"Spatula_querquedula" 96 21 5.52955576355389e-05 1.20959032327741e-05
"Sphyrapicus_varius" 92733 5558 0.0534137806897545 0.00320138238894089
"Spinus_pinus" 34082 3311 0.0196310749514004 0.00190712074303406
"Spinus_tristis" 599573 28753 0.345351285189718 0.0165615955072359
"Spiza_americana" 1411 188 0.000812729498164015 0.00010828713370293
"Spizella_pallida" 2128 290 0.00122571819425445 0.00016703866369069
"Spizella_passerina" 219600 13372 0.126488588091295 0.00770221038231694
"Spizella_pusilla" 69529 3300 0.0400483836129311 0.00190078479372165
"Spizelloides_arborea" 78009 4072 0.0449328245374037 0.00234545323637411
"Stelgidopteryx_serripennis" 43727 2352 0.0251865505075959 0.0013547411620707
"Stercorarius_longicaudus" 85 4 4.89596083231334e-05 2.30398156814745e-06
"Stercorarius_maccormicki" 11 4 6.3359493124055e-06 2.30398156814745e-06
"Stercorarius_parasiticus" 1012 124 0.000582907336741306 7.14234286125711e-05
"Stercorarius_pomarinus" 91 14 5.24155806753546e-05 8.06393548851609e-06
"Stercorarius_skua" 1 0 5.75995392036864e-07 0
"Sterna_dougallii" 2095 300 0.00120671034631723 0.000172798617611059
"Sterna_forsteri" 21686 1106 0.0124910360717114 0.000637050903592771
"Sterna_hirundo" 37111 2841 0.02137576499388 0.00163640290877673
"Sterna_paradisaea" 266 47 0.000153214774281806 2.70717834257326e-05
"Sternula_antillarum" 15671 983 0.00902642378860969 0.000566203470372237
"Streptopelia_decaocto" 174 50 0.000100223198214414 2.87997696018432e-05
"Strix_varia" 16139 4401 0.00929598963208294 0.00253495572035424
"Sturnella_magna" 21818 2475 0.0125670674634603 0.00142558859529124
"Sturnella_neglecta" 123 39 7.08474332205342e-05 2.24638202894377e-05
"Sturnus_vulgaris" 567282 32667 0.326751817985456 0.0188160414716682
"Sula_leucogaster" 377 94 0.000217150262797898 5.41435668514652e-05
"Synthliboramphus_antiquus" 0 0 0 0
"Tachycineta_bicolor" 207826 10333 0.119706818345453 0.00595176038591691
"Tadorna_tadorna" 2 2 1.15199078407373e-06 1.15199078407373e-06
"Thalassarche_chlororhynchos" 1 0 5.75995392036864e-07 0
"Thalasseus_elegans" 45 22 2.59197926416589e-05 1.2671898624811e-05
"Thalasseus_maximus" 5373 535 0.00309482324141407 0.000308157534739722
"Thalasseus_sandvicensis" 121 33 6.96954424364605e-05 1.90078479372165e-05
"Thryomanes_bewickii" 0 0 0 0
"Thryothorus_ludovicianus" 204993 10067 0.118075023399813 0.00579854561163511
"Toxostoma_rufum" 48559 3639 0.0279697602419181 0.00209604723162215
"Tringa_erythropus" 0 0 0 0
"Tringa_flavipes" 27708 2149 0.0159596803225574 0.00123781409748722
"Tringa_glareola" 25 2 1.43998848009216e-05 1.15199078407373e-06
"Tringa_melanoleuca" 42703 2862 0.0245967312261502 0.0016484988120095
"Tringa_nebularia" 42 5 2.41918064655483e-05 2.87997696018432e-06
"Tringa_semipalmata" 16500 950 0.00950392396860825 0.000547195622435021
"Tringa_solitaria" 20385 1640 0.0117416660666715 0.000944632442940456
"Troglodytes_aedon" 143854 7833 0.082859241126071 0.00451177190582475
"Troglodytes_hiemalis" 34855 4306 0.0200763193894449 0.00248023615811074
"Turdus_migratorius" 752916 40854 0.433676146590827 0.023531715746274
"Turdus_pilaris" 0 0 0 0
"Tyrannus_couchii" 192 51 0.000110591115271078 2.937576499388e-05
"Tyrannus_dominicensis" 98 30 5.64475484196126e-05 1.72798617611059e-05
"Tyrannus_forficatus" 130 35 7.48794009647923e-05 2.01598387212902e-05
"Tyrannus_melancholicus" 54 10 3.11037511699906e-05 5.75995392036864e-06
"Tyrannus_savana" 18 9 1.03679170566635e-05 5.18395852833177e-06
"Tyrannus_tyrannus" 94316 5894 0.0543255813953488 0.00339491684066527
"Tyrannus_verticalis" 397 75 0.000228670170638635 4.31996544027648e-05
"Tyrannus_vociferans" 193 30 0.000111167110663115 1.72798617611059e-05
"Uria_aalge" 107 3 6.16315069479444e-05 1.72798617611059e-06
"Uria_lomvia" 265 33 0.000152638778889769 1.90078479372165e-05
"Vanellus_vanellus" 22 11 1.2671898624811e-05 6.3359493124055e-06
"Vermivora_chrysoptera" 2406 243 0.00138584491324069 0.000139966880264958
"Vermivora_cyanoptera" 32958 1846 0.018983656130751 0.00106328749370005
"Vireo_bellii" 1 1 5.75995392036864e-07 5.75995392036864e-07
"Vireo_flavifrons" 27789 1464 0.0160063359493124 0.000843257253941969
"Vireo_gilvus" 102297 4345 0.058922600619195 0.00250269997840017
"Vireo_griseus" 7303 384 0.00420649434804522 0.000221182230542156
"Vireo_olivaceus" 151532 6890 0.08728173374613 0.00396860825113399
"Vireo_philadelphicus" 4807 280 0.0027688098495212 0.000161278709770322
"Vireo_solitarius" 50951 2769 0.0293475412196702 0.00159493124055008
"Xanthocephalus_xanthocephalus" 420 105 0.000241918064655483 6.04795161638707e-05
"Xema_sabini" 193 57 0.000111167110663115 3.28317373461012e-05
"Zenaida_asiatica" 198 23 0.000114047087623299 1.32478940168479e-05
"Zenaida_macroura" 647171 34634 0.372767513859889 0.0199490244078047
"Zonotrichia_albicollis" 322059 16865 0.185504499964 0.00971416228670171
"Zonotrichia_atricapilla" 192 4 0.000110591115271078 2.30398156814745e-06
"Zonotrichia_leucophrys" 38034 3324 0.0219074087407301 0.00191460868313053
"Zonotrichia_querula" 186 30 0.000107135142918857 1.72798617611059e-05
